,TLT,TLT,TLT,TLT,TLT,BND,BND,BND,BND,BND,TIP,TIP,TIP,TIP,TIP,PHB,PHB,PHB,PHB,PHB,BWX,BWX,BWX,BWX,BWX,VCSH,VCSH,VCSH,VCSH,VCSH
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03,55.50413523519671,55.90410175973176,55.43747877123706,55.61927795410156,1392700,,,,,,63.36168101570192,63.64550918363386,63.31231836715342,63.57763671875,257000,,,,,,,,,,,,,,,
2006-01-04,55.47384676148067,55.795029531553155,55.40112430235604,55.75260925292969,387600,,,,,,63.55912376117408,63.63933453049023,63.43571714590189,63.583805084228516,162400,,,,,,,,,,,,,,,
2006-01-05,55.679905128910285,55.83746819716656,55.57082371603519,55.68596649169922,453400,,,,,,63.4110504688396,63.49126596416408,63.349349500693,63.398712158203125,169200,,,,,,,,,,,,,,,
2006-01-06,55.6132252606581,55.69200907995971,55.44354414749089,55.58292770385742,1193700,,,,,,63.38021335107379,63.4480858400728,63.27532121625094,63.36787033081055,315500,,,,,,,,,,,,,,,
2006-01-09,55.57079632261922,55.61927795410156,55.47383768311739,55.61927795410156,413600,,,,,,63.33083853699406,63.44190216064454,63.26296606101421,63.44190216064453,288300,,,,,,,,,,,,,,,
2006-01-10,55.528359853957554,55.55866202066094,55.16475697082444,55.17081832885742,698900,,,,,,63.275303544905235,63.39870546817667,63.21359787578789,63.29998016357422,209700,,,,,,,,,,,,,,,
2006-01-11,55.298080568052036,55.32232137736302,54.99507738685723,55.079917907714844,394600,,,,,,63.36784885557203,63.4110399968901,63.188917489740966,63.201255798339844,687800,,,,,,,,,,,,,,,
2006-01-12,55.22541792014941,55.461760287438686,55.146638672208525,55.449642181396484,626600,,,,,,63.27530213968986,63.50976767169125,63.22593948848488,63.44806671142578,667800,,,,,,,,,,,,,,,
