,UUP,UUP,UUP,UUP,UUP,CYB,CYB,CYB,CYB,CYB,FXB,FXB,FXB,FXB,FXB,FXE,FXE,FXE,FXE,FXE,FXY,FXY,FXY,FXY,FXY,FXA,FXA,FXA,FXA,FXA,ULE,ULE,ULE,ULE,ULE,FXC,FXC,FXC,FXC,FXC,FXF,FXF,FXF,FXF,FXF,DVB,DVB,DVB,DVB,DVB
,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume,Open,High,Low,Close,Volume
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-03,,,,,,,,,,,,,,,,108.7154323868067,109.8201147149336,108.7154323868067,109.71968841552734,118600,,,,,,,,,,,,,,,,,,,,,,,,,,183.8000030517578,183.8000030517578,183.8000030517578,183.8000030517578,0.0
2006-01-04,,,,,,,,,,,,,,,,110.45920563003402,110.91568636224466,110.2218406643316,110.78787231445312,227200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-05,,,,,,,,,,,,,,,,110.40439827469568,110.66002629642651,110.3770105531304,110.55046844482422,264900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-06,,,,,,,,,,,,,,,,110.92480492255902,111.13478909950875,110.77872776201269,111.03436279296875,145800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006-01-09,,,,,,,,,,,,,,,,110.3861551544984,110.45006216747994,110.14878326399177,110.40441131591797,111400,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-10,,,,,,,,,,,,,,,,110.05749492225183,110.33137915151453,110.01184406803684,110.27660369873047,85000,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-11,,,,,,,,,,,,,,,,110.5870137009008,110.96133122444743,110.54136980935259,110.8061294555664,184900,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-12,,,,,,,,,,,,,,,,109.90228713559078,110.02097657142629,109.73795381049294,109.96619415283203,225000,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-13,,,,,,,,,,,,,,,,110.12139020553391,110.97956905752912,110.12139020553391,110.87914276123047,66700,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-17,,,,,,,,,,,,,,,,110.28573612104876,110.63265893361874,110.16704668530294,110.6144027709961,76700,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-18,,,,,,,,,,,,,,,,111.00696378212785,111.14390937347595,110.331374354244,110.65090942382812,469900,,,,,,,,,,,,,,,,,,,,,,,,,,175.0,190.0,175.0,175.0,0.0
2006-01-19,,,,,,,,,,,,,,,,110.28572925122512,110.74220990712367,110.28572925122512,110.5230941772461,43200,,,,,,,,,,,,,,,,,,,,,,,,,,186.0,186.0,186.0,186.0,4.0
