Date,SPY,DIA,QQQ,MDY,IJR,IWC,VUG,VGT,ITOT,XLV,VNQ,IWD,XLE,XLF,SCHB,ACWI,ADRE,SPDW,VEA,IEFA,DGT,IOO,DIM,EFV,VWO,FM,SPEU,ASEA,SCZ,GWX,TLT,BND,TIP,PHB,BWX,VCSH,GBF,BSV,PLW,IGIB,IGSB,WIP,PWZ,CWB,SPTI,UUP,CYB,FXB,FXE,FXY,FXA,ULE,FXC,FXF,DVB,UND,CEW,USDU,EUO,YCL,DBB,GLD,SLV,PPLT,DBA,DBO,UNG,CORN,SOYB,DBE,USO,UGA,GRU,GSG,FUE
2006-01-03,73256700,9761900,109350400,3136400,5965600,46200,79800,99200,192800,1230000,70300,1042000,24190200,17719999,,,297600,,,,7300,137200,,23800,726600,,12300,,,,1392700,,257000,,,,,,,,,,,,,,,,118600,,,,,,0.0,,,,,,,4606500,,,,,,,,,,,,,
2006-01-04,51899600,5844500,92769400,1578700,4911400,39000,221400,36700,119600,2160600,75000,1228900,19997900,19258380,,,152800,,,,4700,105200,,40300,458200,,3400,,,,387600,,162400,,,,,,,,,,,,,,,,227200,,,,,,,,,,,,,5287900,,,,,,,,,,,,,
2006-01-05,47307500,4843600,77656900,1287100,1958800,87100,61600,32100,227600,1261100,31200,745400,23561000,6362054,,,202400,,,,3200,25200,,56200,553600,,700,,,,453400,,169200,,,,,,,,,,,,,,,,264900,,,,,,,,,,,,,7661800,,,,,,,,,,,,,
2006-01-06,62885900,9017800,110053900,2192800,1455400,34300,52600,53400,127600,774900,36000,1179900,18145900,9402870,,,153600,,,,4100,51200,,22900,567400,,3600,,,,1193700,,315500,,,,,,,,,,,,,,,,145800,,,,,,,,,,,,,4629800,,,,,,,,,,,,,
2006-01-09,43527400,10420700,80768800,2993100,7346400,51600,106100,94000,13600,622700,49200,1720300,15235200,8239329,,,300000,,,,3000,38000,,148200,699600,,3600,,,,413600,,288300,,,,,,,,,,,,,,,,111400,,,,,,0.0,,,,,,,5394200,,,,,,,,,,,,,
2006-01-10,44960800,6390700,84369400,3395300,8590200,55300,231500,48200,103600,823300,54900,1312200,17491300,8345072,,,322800,,,,16200,76400,,23700,393800,,1500,,,,698900,,209700,,,,,,,,,,,,,,,,85000,,,,,,0.0,,,,,,,5700600,,,,,,,,,,,,,
2006-01-11,49598900,4388600,100761400,2269900,2468400,62800,53300,31600,42800,1015600,41900,761600,19714500,9195078,,,430000,,,,5200,24200,,59300,843200,,0,,,,394600,,687800,,,,,,,,,,,,,,,,184900,,,,,,0.0,,,,,,,4209500,,,,,,,,,,,,,
2006-01-12,40509200,6331700,82429200,2414800,967000,52400,54400,49900,210000,547900,136400,955300,22318800,7183747,,,260000,,,,25500,21800,,110500,612400,,5500,,,,626600,,667800,,,,,,,,,,,,,,,,225000,,,,,,0.0,,,,,,,3603000,,,,,,,,,,,,,
2006-01-13,44856700,3712200,64572100,1835500,1317000,24700,32200,14500,90800,878500,43000,1022900,17708000,7528550,,,184400,,,,1900,21600,,32300,1470400,,800,,,,491000,,141800,,,,,,,,,,,,,,,,66700,,,,,,0.0,,,,,,,4346200,,,,,,,,,,,,,
2006-01-17,52066600,3914400,77962100,2081300,1073000,42300,71400,50400,85600,1063700,59500,1672900,15398000,7335529,,,265600,,,,5300,40800,,92500,713600,,1500,,,,454300,,591500,,,,,,,,,,,,,,,,76700,,,,,,0.0,,,,,,,5130400,,,,,,,,,,,,,
